Site Type,Predicted ROI ($/kWh)
Urban,0.18
Urban,0.181
Urban,0.179
Urban,0.174
Urban,0.182
Urban,0.176
Urban,0.183
Urban,0.177
Urban,0.18
Urban,0.175
Urban,0.181
Urban,0.184
Urban,0.172
Urban,0.173
Urban,0.185
Urban,0.178
Urban,0.181
Urban,0.176
Urban,0.179
Urban,0.182
Urban,0.174
Urban,0.186
Urban,0.171
Urban,0.18
Urban,0.177
Urban,0.183
Urban,0.178
Urban,0.184
Urban,0.175
Urban,0.182
Urban,0.179
Urban,0.176
Urban,0.18
Urban,0.181
Urban,0.173
Urban,0.184
Urban,0.178
Urban,0.19
Urban,0.169
Urban,0.215
Rural,0.11
Rural,0.109
Rural,0.104
Rural,0.116
Rural,0.118
Rural,0.097
Rural,0.102
Rural,0.111
Rural,0.121
Rural,0.106
Rural,0.113
Rural,0.095
Rural,0.129
Rural,0.101
Rural,0.108
Rural,0.117
Rural,0.112
Rural,0.14
Rural,0.099
Rural,0.123
Rural,0.105
Rural,0.107
Rural,0.115
Rural,0.093
Rural,0.125
Rural,0.114
Rural,0.098
Rural,0.142
Rural,0.084
Rural,0.118
Rural,0.111
Rural,0.103
Rural,0.126
Rural,0.089
Rural,0.096
Rural,0.12
Rural,0.104
Rural,0.137
Rural,0.061
Rural,0.18
