Site Type,Model Score
Urban,92
Urban,93
Urban,91
Urban,90
Urban,94
Urban,92
Urban,95
Urban,89
Urban,93
Urban,92
Urban,91
Urban,94
Urban,90
Urban,92
Urban,93
Urban,91
Urban,96
Urban,88
Urban,92
Urban,93
Urban,90
Urban,94
Urban,91
Urban,92
Urban,93
Urban,89
Urban,95
Urban,90
Urban,92
Urban,93
Urban,91
Urban,94
Urban,92
Urban,93
Urban,89
Urban,96
Urban,90
Urban,91
Urban,92
Urban,98
Rural,66
Rural,68
Rural,70
Rural,65
Rural,72
Rural,71
Rural,67
Rural,69
Rural,74
Rural,63
Rural,68
Rural,66
Rural,75
Rural,64
Rural,70
Rural,71
Rural,73
Rural,62
Rural,68
Rural,67
Rural,72
Rural,69
Rural,65
Rural,74
Rural,63
Rural,71
Rural,66
Rural,68
Rural,75
Rural,60
Rural,69
Rural,67
Rural,72
Rural,64
Rural,73
Rural,66
Rural,70
Rural,58
Rural,76
Rural,68
